County,State,State Abbreviation,County Population,FIPS - County Code,County Name Fragment,County % of State Population,State Population
Autauga County,Alabama,AL,59285,01001,autauga-county-al,0.0114944668155315,5157699
Baldwin County,Alabama,AL,239945,01003,baldwin-county-al,0.046521714431183366,5157699
Barbour County,Alabama,AL,24757,01005,barbour-county-al,0.004800008686043912,5157699
Bibb County,Alabama,AL,22152,01007,bibb-county-al,0.004294938498737518,5157699
Blount County,Alabama,AL,59292,01009,blount-county-al,0.011495824009892783,5157699
Bullock County,Alabama,AL,10157,01011,bullock-county-al,0.001969289018223049,5157699
Butler County,Alabama,AL,18807,01013,butler-county-al,0.003646393478952533,5157699
Calhoun County,Alabama,AL,116141,01015,calhoun-county-al,0.022517987187697458,5157699
Chambers County,Alabama,AL,34450,01017,chambers-county-al,0.006679335106604709,5157699
Cherokee County,Alabama,AL,25224,01019,cherokee-county-al,0.004890552938432429,5157699
Chilton County,Alabama,AL,45500,01021,chilton-county-al,0.008821763348345842,5157699
Choctaw County,Alabama,AL,12525,01023,choctaw-county-al,0.0024284084821545424,5157699
Clarke County,Alabama,AL,22802,01025,clarke-county-al,0.004420963689428173,5157699
Clay County,Alabama,AL,14188,01027,clay-county-al,0.0027508390854138636,5157699
Cleburne County,Alabama,AL,15254,01029,cleburne-county-al,0.002957520398146538,5157699
Coffee County,Alabama,AL,54231,01031,coffee-county-al,0.010514572486684469,5157699
Colbert County,Alabama,AL,57648,01033,colbert-county-al,0.011177077219899804,5157699
Conecuh County,Alabama,AL,11411,01035,conecuh-county-al,0.002212420693801635,5157699
Coosa County,Alabama,AL,10323,01037,coosa-county-al,0.0020014739130763542,5157699
Covington County,Alabama,AL,37647,01039,covington-county-al,0.007299185159893976,5157699
Crenshaw County,Alabama,AL,13144,01041,crenshaw-county-al,0.0025484232406737966,5157699
Cullman County,Alabama,AL,89463,01043,cullman-county-al,0.017345525591935473,5157699
Dale County,Alabama,AL,49516,01045,dale-county-al,0.009600405141905334,5157699
Dallas County,Alabama,AL,37536,01047,dallas-county-al,0.0072776639350221875,5157699
DeKalb County,Alabama,AL,71946,01049,dekalb-county-al,0.013949243645276702,5157699
Elmore County,Alabama,AL,88669,01051,elmore-county-al,0.01719158097438412,5157699
Escambia County,Alabama,AL,36695,01053,escambia-county-al,0.007114606726759356,5157699
Etowah County,Alabama,AL,103208,01055,etowah-county-al,0.020010473662770936,5157699
Fayette County,Alabama,AL,16173,01057,fayette-county-al,0.0031357006292922485,5157699
Franklin County,Alabama,AL,31978,01059,franklin-county-al,0.006200051612162711,5157699
Geneva County,Alabama,AL,26726,01061,geneva-county-al,0.005181768071382219,5157699
Greene County,Alabama,AL,7589,01063,greene-county-al,0.0014713925725405846,5157699
Hale County,Alabama,AL,14749,01065,hale-county-al,0.002859608519225337,5157699
Henry County,Alabama,AL,17450,01067,henry-county-al,0.0033832916577721966,5157699
Houston County,Alabama,AL,107628,01069,houston-county-al,0.02086744495946739,5157699
Jackson County,Alabama,AL,52839,01071,jackson-county-al,0.010244684693697713,5157699
Jefferson County,Alabama,AL,669744,01073,jefferson-county-al,0.1298532543291107,5157699
Lamar County,Alabama,AL,13809,01075,lamar-county-al,0.002677356704995774,5157699
Lauderdale County,Alabama,AL,95037,01077,lauderdale-county-al,0.01842624007333503,5157699
Lawrence County,Alabama,AL,33182,01079,lawrence-county-al,0.0064334890423035545,5157699
Lee County,Alabama,AL,177663,01081,lee-county-al,0.03444617454411357,5157699
Limestone County,Alabama,AL,107577,01083,limestone-county-al,0.020857556829120893,5157699
Lowndes County,Alabama,AL,10008,01085,lowndes-county-al,0.0019404001668185756,5157699
Macon County,Alabama,AL,18951,01087,macon-county-al,0.003674312905813232,5157699
Madison County,Alabama,AL,397135,01089,madison-county-al,0.07699848323835881,5157699
Marengo County,Alabama,AL,19027,01091,marengo-county-al,0.0036890481588786007,5157699
Marion County,Alabama,AL,29190,01093,marion-county-al,0.0056595004865541785,5157699
Marshall County,Alabama,AL,98712,01095,marshall-county-al,0.019138767113009113,5157699
Mobile County,Alabama,AL,413162,01097,mobile-county-al,0.08010587667097285,5157699
Monroe County,Alabama,AL,19580,01099,monroe-county-al,0.0037962665134200347,5157699
Montgomery County,Alabama,AL,227197,01101,montgomery-county-al,0.04405006961437649,5157699
Morgan County,Alabama,AL,123742,01103,morgan-county-al,0.023991706379143104,5157699
Perry County,Alabama,AL,8231,01105,perry-county-al,0.0015958666839612004,5157699
Pickens County,Alabama,AL,18843,01107,pickens-county-al,0.0036533733356677077,5157699
Pike County,Alabama,AL,32953,01109,pike-county-al,0.0063890893981986925,5157699
Randolph County,Alabama,AL,22310,01111,randolph-county-al,0.004325572314320785,5157699
Russell County,Alabama,AL,58858,01113,russell-county-al,0.011411677959493178,5157699
St. Clair County,Alabama,AL,92903,01115,st.-clair-county-al,0.01801248967805217,5157699
Shelby County,Alabama,AL,226955,01117,shelby-county-al,0.044003149466457815,5157699
Sumter County,Alabama,AL,12020,01119,sumter-county-al,0.002330496603233341,5157699
Talladega County,Alabama,AL,81170,01121,talladega-county-al,0.01573763804363147,5157699
Tallapoosa County,Alabama,AL,41070,01123,tallapoosa-county-al,0.00796285320256184,5157699
Tuscaloosa County,Alabama,AL,234036,01125,tuscaloosa-county-al,0.04537604850535093,5157699
Walker County,Alabama,AL,64886,01127,walker-county-al,0.012580416189467435,5157699
Washington County,Alabama,AL,15270,01129,washington-county-al,0.0029606225566866156,5157699
Wilcox County,Alabama,AL,10347,01131,wilcox-county-al,0.0020061271508864708,5157699
Winston County,Alabama,AL,23637,01133,winston-county-al,0.004582857588238476,5157699
Aleutians East Borough,Alaska,AK,3423,02013,aleutians-east-borough-ak,0.004624844453631982,740133
Aleutians West Census Area,Alaska,AK,5178,02016,aleutians-west-census-area-ak,0.0069960399009367236,740133
Anchorage Borough,Alaska,AK,289069,02020,anchorage-borough-ak,0.390563587895689,740133
Bethel Census Area,Alaska,AK,18487,02050,bethel-census-area-ak,0.024977943153460257,740133
