County,State,County Code,ZIP,USPS Default City for ZIP,USPS Default State for ZIP,% of County Residents in ZIP,County Population
Autauga County,Alabama,01001,36051,Marbury,AL,0.031810633933513494,59285
Autauga County,Alabama,01001,36066,Prattville,AL,0.29772409077589296,59285
Autauga County,Alabama,01001,36749,Jones,AL,0.014586657115879269,59285
Autauga County,Alabama,01001,36006,Billingsley,AL,0.0184612379122847,59285
Autauga County,Alabama,01001,36003,Autaugaville,AL,0.03555497671995572,59285
Autauga County,Alabama,01001,36758,Plantersville,AL,0.0060560674632891606,59285
Autauga County,Alabama,01001,36091,Verbena,AL,0.008465470647608504,59285
Autauga County,Alabama,01001,36703,Selma,AL,0.004883925373620291,59285
Autauga County,Alabama,01001,36008,Booth,AL,0.0010419040797056622,59285
Autauga County,Alabama,01001,36022,Deatsville,AL,0.08162667274444046,59285
Autauga County,Alabama,01001,36068,Prattville,AL,0.04502979194477908,59285
Autauga County,Alabama,01001,36067,Prattville,AL,0.4547585712890307,59285
Baldwin County,Alabama,01003,36533,Fairhope,AL,0.007794697539332227,239945
Baldwin County,Alabama,01003,36530,Elberta,AL,0.03525981368491743,239945
Baldwin County,Alabama,01003,36532,Fairhope,AL,0.12274639681783482,239945
Baldwin County,Alabama,01003,36526,Daphne,AL,0.11538792682856831,239945
Baldwin County,Alabama,01003,36550,Little River,AL,0.0008437559192060658,239945
Baldwin County,Alabama,01003,36578,Stapleton,AL,0.009321493964562251,239945
Baldwin County,Alabama,01003,36542,Gulf Shores,AL,0.11325270776772031,239945
Baldwin County,Alabama,01003,36502,Atmore,AL,0.0009413331343523456,239945
Baldwin County,Alabama,01003,36527,Daphne,AL,0.05167000533804765,239945
Baldwin County,Alabama,01003,36480,Uriah,AL,0.000034439017110451666,239945
Baldwin County,Alabama,01003,36551,Loxley,AL,0.028440888297048002,239945
Baldwin County,Alabama,01003,36580,Summerdale,AL,0.02603589693550146,239945
Baldwin County,Alabama,01003,36555,Magnolia Springs,AL,0.003983446312442243,239945
Baldwin County,Alabama,01003,36536,Foley,AL,0.008919705431606983,239945
Baldwin County,Alabama,01003,36564,Point Clear,AL,0.006595071776651494,239945
Baldwin County,Alabama,01003,36507,Bay Minette,AL,0.06000424747877695,239945
Baldwin County,Alabama,01003,36574,Seminole,AL,0.005412665522525987,239945
Baldwin County,Alabama,01003,36577,Spanish Fort,AL,0.004350795828287061,239945
Baldwin County,Alabama,01003,36562,Perdido,AL,0.004982177808645342,239945
Baldwin County,Alabama,01003,36547,Gulf Shores,AL,0.04253218613140781,239945
Baldwin County,Alabama,01003,36576,Silverhill,AL,0.016662744445273533,239945
Baldwin County,Alabama,01003,36535,Foley,AL,0.1419978073825773,239945
Baldwin County,Alabama,01003,36567,Robertsdale,AL,0.04314060876702579,239945
Baldwin County,Alabama,01003,36561,Orange Beach,AL,0.10249051492070416,239945
Baldwin County,Alabama,01003,36511,Bon Secour,AL,0.004873120921128911,239945
Baldwin County,Alabama,01003,36559,Montrose,AL,0.0048673810849438354,239945
Baldwin County,Alabama,01003,36549,Lillian,AL,0.03165519656069016,239945
Baldwin County,Alabama,01003,36579,Stockton,AL,0.005802974383111106,239945
Barbour County,Alabama,01005,36017,Clio,AL,0.0863037109375,24757
Barbour County,Alabama,01005,36048,Louisville,AL,0.05242919921875,24757
Barbour County,Alabama,01005,36027,Eufaula,AL,0.58856201171875,24757
Barbour County,Alabama,01005,36072,Eufaula,AL,0.08087158203125,24757
Barbour County,Alabama,01005,36053,Midway,AL,0.031982421875,24757
Barbour County,Alabama,01005,36016,Clayton,AL,0.13092041015625,24757
Barbour County,Alabama,01005,36317,Clopton,AL,0.00152587890625,24757
Barbour County,Alabama,01005,36374,Skipperville,AL,0.00469970703125,24757
Barbour County,Alabama,01005,36311,Ariton,AL,0.022705078125,24757
Bibb County,Alabama,01007,35042,Centreville,AL,0.2962928893386073,22152
Bibb County,Alabama,01007,35184,West Blocton,AL,0.2677766534817404,22152
Bibb County,Alabama,01007,36793,Lawley,AL,0.020329316530218012,22152
Bibb County,Alabama,01007,35034,Brent,AL,0.15067611075338055,22152
Bibb County,Alabama,01007,36792,Randolph,AL,0.039738754484408056,22152
Bibb County,Alabama,01007,35080,Helena,AL,0.0005519271456167786,22152
Bibb County,Alabama,01007,35115,Montevallo,AL,0.008370895041854474,22152
Bibb County,Alabama,01007,36756,Marion,AL,0,22152
Bibb County,Alabama,01007,36750,Maplesville,AL,0.004139453592125839,22152
Bibb County,Alabama,01007,35188,Woodstock,AL,0.11618066415233189,22152
Bibb County,Alabama,01007,35035,Brierfield,AL,0.08140925397847484,22152
Bibb County,Alabama,01007,35111,Mc Calla,AL,0.013798178640419465,22152
Bibb County,Alabama,01007,35456,Duncanville,AL,0.0007359028608223715,22152
Bibb County,Alabama,01007,35074,Green Pond,AL,0,22152
Blount County,Alabama,01009,35097,Locust Fork,AL,0.027692307692307693,59292
Blount County,Alabama,01009,35980,Horton,AL,0.02444816053511706,59292
Blount County,Alabama,01009,35180,Warrior,AL,0.09765886287625418,59292
Blount County,Alabama,01009,35013,Allgood,AL,0,59292
Blount County,Alabama,01009,35031,Blountsville,AL,0.14224080267558528,59292
Blount County,Alabama,01009,35172,Trafford,AL,0.038896321070234115,59292
Blount County,Alabama,01009,35957,Boaz,AL,0.008160535117056856,59292
Blount County,Alabama,01009,35049,Cleveland,AL,0.06725752508361205,59292
Blount County,Alabama,01009,35016,Arab,AL,0.00588628762541806,59292
Blount County,Alabama,01009,35077,Hanceville,AL,0.00006688963210702341,59292
Blount County,Alabama,01009,35063,Empire,AL,0.009030100334448161,59292
Blount County,Alabama,01009,35126,Pinson,AL,0.008160535117056856,59292
Blount County,Alabama,01009,35146,Springville,AL,0.015250836120401338,59292
Blount County,Alabama,01009,35133,Remlap,AL,0.06678929765886288,59292
Blount County,Alabama,01009,35079,Hayden,AL,0.1605685618729097,59292
Blount County,Alabama,01009,35121,Oneonta,AL,0.25929765886287626,59292
Blount County,Alabama,01009,35976,Guntersville,AL,0.010535117056856187,59292
Blount County,Alabama,01009,35952,Altoona,AL,0.05806020066889632,59292
Bullock County,Alabama,01011,36052,Mathews,AL,0.0047345282380791345,10157
Bullock County,Alabama,01011,36031,Fort Davis,AL,0,10157
Bullock County,Alabama,01011,36053,Midway,AL,0.13949949272911735,10157
Bullock County,Alabama,01011,36830,Auburn,AL,0.00033818058843422386,10157
Bullock County,Alabama,01011,36005,Banks,AL,0.062394318566114305,10157
Bullock County,Alabama,01011,36029,Fitzpatrick,AL,0.06915793033479878,10157
Bullock County,Alabama,01011,36081,Troy,AL,0.03567805207981062,10157
Bullock County,Alabama,01011,36860,Hurtsboro,AL,0.006425431180250254,10157
Bullock County,Alabama,01011,36089,Union Springs,AL,0.6817720662833954,10157
Butler County,Alabama,01013,36474,Red Level,AL,0.0004970590671858172,18807
Butler County,Alabama,01013,36456,Mc Kenzie,AL,0.0663573854693066,18807
Butler County,Alabama,01013,36030,Forest Home,AL,0.03156325076629939,18807
Butler County,Alabama,01013,36032,Fort Deposit,AL,0.022201971667633172,18807
Butler County,Alabama,01013,36037,Greenville,AL,0.6542954187722642,18807
Butler County,Alabama,01013,36015,Chapman,AL,0,18807
Butler County,Alabama,01013,36033,Georgiana,AL,0.1929417612459614,18807
Butler County,Alabama,01013,36042,Honoraville,AL,0.02849805318532019,18807
Butler County,Alabama,01013,36071,Rutledge,AL,0.0036450998260293263,18807
Calhoun County,Alabama,01015,36203,Oxford,AL,0.1253261449308789,116141
Calhoun County,Alabama,01015,36207,Anniston,AL,0.156736965014199,116141
Calhoun County,Alabama,01015,35096,Lincoln,AL,0.0025370832192126392,116141
Calhoun County,Alabama,01015,36204,Anniston,AL,0.010724942699398884,116141
Calhoun County,Alabama,01015,36253,Bynum,AL,0,116141
Calhoun County,Alabama,01015,36279,Wellington,AL,0.02039757247264707,116141
Calhoun County,Alabama,01015,36277,Weaver,AL,0.03988698447478053,116141
Calhoun County,Alabama,01015,36265,Jacksonville,AL,0.1632238255178677,116141
Calhoun County,Alabama,01015,36202,Anniston,AL,0.029219702757636478,116141
Calhoun County,Alabama,01015,36206,Anniston,AL,0.08304622969252282,116141
Calhoun County,Alabama,01015,36201,Anniston,AL,0.16691412838217698,116141
Calhoun County,Alabama,01015,36260,Eastaboga,AL,0.02119041097865102,116141
Calhoun County,Alabama,01015,35905,Gadsden,AL,0.005030920701734154,116141
Calhoun County,Alabama,01015,36271,Ohatchee,AL,0.05091464733101728,116141
Calhoun County,Alabama,01015,36272,Piedmont,AL,0.07361865909385766,116141
Calhoun County,Alabama,01015,36254,Choccolocco,AL,0,116141
Calhoun County,Alabama,01015,36257,De Armanville,AL,0.006083233627884851,116141
Calhoun County,Alabama,01015,36250,Alexandria,AL,0.030531490103933922,116141
Calhoun County,Alabama,01015,36205,Anniston,AL,0.014617059001600092,116141
Chambers County,Alabama,01017,36879,Waverly,AL,0.0165632481555675,34450
Chambers County,Alabama,01017,36862,Lafayette,AL,0.17965505447794008,34450
Chambers County,Alabama,01017,36276,Wadley,AL,0.010260419211413494,34450
Chambers County,Alabama,01017,36850,Camp Hill,AL,0.009576391263985929,34450
Chambers County,Alabama,01017,36274,Roanoke,AL,0.018761909415156104,34450
Chambers County,Alabama,01017,36854,Valley,AL,0.33707920066448427,34450
Chambers County,Alabama,01017,36852,Cusseta,AL,0.015292910538916304,34450
Chambers County,Alabama,01017,36863,Lanett,AL,0.3537890262373577,34450
Chambers County,Alabama,01017,36801,Opelika,AL,0.008110617090926859,34450
Chambers County,Alabama,01017,36855,Five Points,AL,0.050911222944251724,34450
Cherokee County,Alabama,01019,35901,Gadsden,AL,0.0020878108688977587,25224
Cherokee County,Alabama,01019,35903,Gadsden,AL,0.0031931225053730425,25224
Cherokee County,Alabama,01019,35967,Fort Payne,AL,0.012342646607307339,25224
Cherokee County,Alabama,01019,36275,Spring Garden,AL,0,25224
Cherokee County,Alabama,01019,35983,Leesburg,AL,0.14246238870125882,25224
Cherokee County,Alabama,01019,36272,Piedmont,AL,0.09800429843414185,25224
Cherokee County,Alabama,01019,35961,Collinsville,AL,0.018913110224132636,25224
Cherokee County,Alabama,01019,35973,Gaylesville,AL,0.10838194657660424,25224
Cherokee County,Alabama,01019,35960,Centre,AL,0.39128031931225055,25224
Cherokee County,Alabama,01019,35984,Mentone,AL,0.013263739637703408,25224
Cherokee County,Alabama,01019,35959,Cedar Bluff,AL,0.21007061713233036,25224
Chilton County,Alabama,01021,35115,Montevallo,AL,0.055731399495172085,45500
Chilton County,Alabama,01021,35040,Calera,AL,0.022196402099443086,45500
Chilton County,Alabama,01021,36790,Stanton,AL,0.0056091990865018634,45500
Chilton County,Alabama,01021,36750,Maplesville,AL,0.06506670940342162,45500
Chilton County,Alabama,01021,36758,Plantersville,AL,0.01065747826435354,45500
Chilton County,Alabama,01021,36006,Billingsley,AL,0.009695901278096077,45500
Chilton County,Alabama,01021,35085,Jemison,AL,0.192235265835971,45500
Chilton County,Alabama,01021,36091,Verbena,AL,0.08598100885452141,45500
Chilton County,Alabama,01021,36793,Lawley,AL,0.005208542008894587,45500
Chilton County,Alabama,01021,35171,Thorsby,AL,0.06923354301053729,45500
Chilton County,Alabama,01021,36792,Randolph,AL,0.011258463880764454,45500
Chilton County,Alabama,01021,36051,Marbury,AL,0.012179975159261188,45500
Chilton County,Alabama,01021,35035,Brierfield,AL,0.00008013141552145518,45500
Chilton County,Alabama,01021,35045,Clanton,AL,0.3243719700308506,45500
Chilton County,Alabama,01021,35046,Clanton,AL,0.13049401017668977,45500
Choctaw County,Alabama,01023,36915,Needham,AL,0.05310179942116522,12525
