Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"New York-Newark-Jersey City, NY-NJ",35620,Metropolitan Statistical Area,19498249
"Los Angeles-Long Beach-Anaheim, CA",31080,Metropolitan Statistical Area,12799100
"Chicago-Naperville-Elgin, IL-IN",16980,Metropolitan Statistical Area,9262825
"Dallas-Fort Worth-Arlington, TX",19100,Metropolitan Statistical Area,8100037
"Houston-Pasadena-The Woodlands, TX",26420,Metropolitan Statistical Area,7510253
"Atlanta-Sandy Springs-Roswell, GA",12060,Metropolitan Statistical Area,6307261
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,Metropolitan Statistical Area,6304975
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,Metropolitan Statistical Area,6246160
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,Metropolitan Statistical Area,6183199
"Phoenix-Mesa-Chandler, AZ",38060,Metropolitan Statistical Area,5070110
"Boston-Cambridge-Newton, MA-NH",14460,Metropolitan Statistical Area,4919179
"Riverside-San Bernardino-Ontario, CA",40140,Metropolitan Statistical Area,4688053
"San Francisco-Oakland-Fremont, CA",41860,Metropolitan Statistical Area,4566961
"Detroit-Warren-Dearborn, MI",19820,Metropolitan Statistical Area,4342304
"Seattle-Tacoma-Bellevue, WA",42660,Metropolitan Statistical Area,4044837
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,Metropolitan Statistical Area,3712020
"Tampa-St. Petersburg-Clearwater, FL",45300,Metropolitan Statistical Area,3342963
"San Diego-Chula Vista-Carlsbad, CA",41740,Metropolitan Statistical Area,3269973
"Denver-Aurora-Centennial, CO",19740,Metropolitan Statistical Area,3005131
"Baltimore-Columbia-Towson, MD",12580,Metropolitan Statistical Area,2834316
"Orlando-Kissimmee-Sanford, FL",36740,Metropolitan Statistical Area,2817933
"Charlotte-Concord-Gastonia, NC-SC",16740,Metropolitan Statistical Area,2805115
"St. Louis, MO-IL",41180,Metropolitan Statistical Area,2796999
"San Antonio-New Braunfels, TX",41700,Metropolitan Statistical Area,2703999
"Portland-Vancouver-Hillsboro, OR-WA",38900,Metropolitan Statistical Area,2508050
"Austin-Round Rock-San Marcos, TX",12420,Metropolitan Statistical Area,2473275
"Pittsburgh, PA",38300,Metropolitan Statistical Area,2422725
"Sacramento-Roseville-Folsom, CA",40900,Metropolitan Statistical Area,2420608
"Las Vegas-Henderson-North Las Vegas, NV",29820,Metropolitan Statistical Area,2336573
"Cincinnati, OH-KY-IN",17140,Metropolitan Statistical Area,2271479
"Kansas City, MO-KS",28140,Metropolitan Statistical Area,2221343
"Columbus, OH",18140,Metropolitan Statistical Area,2180271
"Cleveland, OH",17410,Metropolitan Statistical Area,2158932
"Indianapolis-Carmel-Greenwood, IN",26900,Metropolitan Statistical Area,2138468
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,Metropolitan Statistical Area,2102573
"San Jose-Sunnyvale-Santa Clara, CA",41940,Metropolitan Statistical Area,1945767
"Virginia Beach-Chesapeake-Norfolk, VA-NC",47260,Metropolitan Statistical Area,1787169
"Jacksonville, FL",27260,Metropolitan Statistical Area,1713240
"Providence-Warwick, RI-MA",39300,Metropolitan Statistical Area,1677803
"Milwaukee-Waukesha, WI",33340,Metropolitan Statistical Area,1560424
"Raleigh-Cary, NC",39580,Metropolitan Statistical Area,1509231
"Oklahoma City, OK",36420,Metropolitan Statistical Area,1477926
"Louisville/Jefferson County, KY-IN",31140,Metropolitan Statistical Area,1365557
"Richmond, VA",40060,Metropolitan Statistical Area,1349732
"Memphis, TN-MS-AR",32820,Metropolitan Statistical Area,1335674
"Salt Lake City-Murray, UT",41620,Metropolitan Statistical Area,1267864
"Birmingham, AL",13820,Metropolitan Statistical Area,1184290
"Fresno, CA",23420,Metropolitan Statistical Area,1180020
"Grand Rapids-Wyoming-Kentwood, MI",24340,Metropolitan Statistical Area,1162950
"Buffalo-Cheektowaga, NY",15380,Metropolitan Statistical Area,1155604
"Hartford-West Hartford-East Hartford, CT",25540,Metropolitan Statistical Area,1151543
"Tucson, AZ",46060,Metropolitan Statistical Area,1063162
"Rochester, NY",40380,Metropolitan Statistical Area,1052087
"Tulsa, OK",46140,Metropolitan Statistical Area,1044757
"Urban Honolulu, HI",46520,Metropolitan Statistical Area,989408
"Omaha, NE-IA",36540,Metropolitan Statistical Area,983969
"Greenville-Anderson-Greer, SC",24860,Metropolitan Statistical Area,975480
"New Orleans-Metairie, LA",35380,Metropolitan Statistical Area,962165
"Bridgeport-Stamford-Danbury, CT",14860,Metropolitan Statistical Area,951558
"Knoxville, TN",28940,Metropolitan Statistical Area,946264
"Albuquerque, NM",10740,Metropolitan Statistical Area,922296
"Bakersfield-Delano, CA",12540,Metropolitan Statistical Area,913820
"North Port-Bradenton-Sarasota, FL",35840,Metropolitan Statistical Area,910108
"Albany-Schenectady-Troy, NY",10580,Metropolitan Statistical Area,904682
"McAllen-Edinburg-Mission, TX",32580,Metropolitan Statistical Area,898471
"Baton Rouge, LA",12940,Metropolitan Statistical Area,873661
"Allentown-Bethlehem-Easton, PA-NJ",10900,Metropolitan Statistical Area,873555
"El Paso, TX",21340,Metropolitan Statistical Area,873331
"Worcester, MA",49340,Metropolitan Statistical Area,866866
"Columbia, SC",17900,Metropolitan Statistical Area,858302
"Charleston-North Charleston, SC",16700,Metropolitan Statistical Area,849417
"Cape Coral-Fort Myers, FL",15980,Metropolitan Statistical Area,834573
"Oxnard-Thousand Oaks-Ventura, CA",37100,Metropolitan Statistical Area,829590
"Boise City, ID",14260,Metropolitan Statistical Area,824657
"Lakeland-Winter Haven, FL",29460,Metropolitan Statistical Area,818330
"Dayton-Kettering-Beavercreek, OH",19430,Metropolitan Statistical Area,814363
"Stockton-Lodi, CA",44700,Metropolitan Statistical Area,800965
"Greensboro-High Point, NC",24660,Metropolitan Statistical Area,789842
"Colorado Springs, CO",17820,Metropolitan Statistical Area,768832
"Little Rock-North Little Rock-Conway, AR",30780,Metropolitan Statistical Area,764045
"Des Moines-West Des Moines, IA",19780,Metropolitan Statistical Area,737164
"Provo-Orem-Lehi, UT",39340,Metropolitan Statistical Area,732197
"Deltona-Daytona Beach-Ormond Beach, FL",19660,Metropolitan Statistical Area,721796
"Kiryas Joel-Poughkeepsie-Newburgh, NY",28880,Metropolitan Statistical Area,704620
"Akron, OH",10420,Metropolitan Statistical Area,698398
"Winston-Salem, NC",49180,Metropolitan Statistical Area,695630
"Madison, WI",31540,Metropolitan Statistical Area,694345
"Ogden, UT",36260,Metropolitan Statistical Area,658133
"Syracuse, NY",45060,Metropolitan Statistical Area,652956
"Wichita, KS",48620,Metropolitan Statistical Area,652939
"Palm Bay-Melbourne-Titusville, FL",37340,Metropolitan Statistical Area,643979
"Augusta-Richmond County, GA-SC",12260,Metropolitan Statistical Area,629429
"Jackson, MS",27140,Metropolitan Statistical Area,610257
"Durham-Chapel Hill, NC",20500,Metropolitan Statistical Area,608879
"Harrisburg-Carlisle, PA",25420,Metropolitan Statistical Area,606055
"Spokane-Spokane Valley, WA",44060,Metropolitan Statistical Area,600292
"Toledo, OH",45780,Metropolitan Statistical Area,600141
"Fayetteville-Springdale-Rogers, AR",22220,Metropolitan Statistical Area,590337
"Chattanooga, TN-GA",16860,Metropolitan Statistical Area,580971
"Scranton--Wilkes-Barre, PA",42540,Metropolitan Statistical Area,569413
"New Haven, CT",35300,Metropolitan Statistical Area,568158
"Portland-South Portland, ME",38860,Metropolitan Statistical Area,566329
"Reno, NV",39900,Metropolitan Statistical Area,564782
"Lancaster, PA",29540,Metropolitan Statistical Area,558589
"Modesto, CA",33700,Metropolitan Statistical Area,551430
"Port St. Lucie, FL",38940,Metropolitan Statistical Area,536901
"Pensacola-Ferry Pass-Brent, FL",37860,Metropolitan Statistical Area,530090
"Huntsville, AL",26620,Metropolitan Statistical Area,527254
"Lexington-Fayette, KY",30460,Metropolitan Statistical Area,520045
"Killeen-Temple, TX",28660,Metropolitan Statistical Area,501333
"Springfield, MO",44180,Metropolitan Statistical Area,491053
"Santa Rosa-Petaluma, CA",42220,Metropolitan Statistical Area,481812
"Visalia, CA",47300,Metropolitan Statistical Area,479468
"Lansing-East Lansing, MI",29620,Metropolitan Statistical Area,473177
"Wilmington, NC",48900,Metropolitan Statistical Area,467337
"York-Hanover, PA",49620,Metropolitan Statistical Area,464640
