Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,ZIP,USPS Default City for ZIP,USPS Default State for ZIP,% of Metro Residents in ZIP,Total Metro Residents
"Anchorage, AK",11260,Metropolitan Statistical Area,99504,Anchorage,AK,0.09015316602195832,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99654,Wasilla,AK,0.08482519888644444,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99507,Anchorage,AK,0.08333941548759762,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99645,Palmer,AK,0.07848064310961432,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99508,Anchorage,AK,0.07599912416978594,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99577,Eagle River,AK,0.06825219739544777,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99502,Anchorage,AK,0.05257587921884286,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99501,Anchorage,AK,0.052111897736395955,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99515,Anchorage,AK,0.04577776850973318,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99623,Wasilla,AK,0.04533985340270465,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99516,Anchorage,AK,0.042217101627584484,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99517,Anchorage,AK,0.03957397116016224,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99503,Anchorage,AK,0.037592926628366476,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99518,Anchorage,AK,0.023381538750273698,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99687,Wasilla,AK,0.0233033396240186,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99509,Anchorage,AK,0.015561626124764099,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99567,Chugiak,AK,0.014571103858866216,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99520,Anchorage,AK,0.014487691457527449,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99524,Anchorage,AK,0.014466838357192756,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99514,Anchorage,AK,0.013705700194976488,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99511,Anchorage,AK,0.012480580550313317,401314
"Anchorage, AK",11260,Metropolitan Statistical Area,99521,Anchorage,AK,0.011912333566192954,401314
