ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
35004,Alabama,Moody,"Birmingham, AL",13820
35005,Alabama,Adamsville,"Birmingham, AL",13820
35006,Alabama,Adger,"Birmingham, AL",13820
35007,Alabama,Alabaster,"Birmingham, AL",13820
35010,Alabama,Alexander City,"Alexander City, AL",10760
35011,Alabama,Alexander City,"Alexander City, AL",10760
35013,Alabama,Allgood,"Birmingham, AL",13820
35014,Alabama,Alpine,"Talladega-Sylacauga, AL",45180
35015,Alabama,Alton,"Birmingham, AL",13820
35016,Alabama,Arab,"Albertville, AL",10700
35019,Alabama,Baileyton,"Cullman, AL",18980
35020,Alabama,Bessemer,"Birmingham, AL",13820
35021,Alabama,Bessemer,"Birmingham, AL",13820
35022,Alabama,Bessemer,"Birmingham, AL",13820
35023,Alabama,Bessemer,"Birmingham, AL",13820
35031,Alabama,Blountsville,"Birmingham, AL",13820
35032,Alabama,Bon Air,"Talladega-Sylacauga, AL",45180
35033,Alabama,Bremen,"Cullman, AL",18980
35034,Alabama,Brent,"Birmingham, AL",13820
35035,Alabama,Brierfield,"Birmingham, AL",13820
35036,Alabama,Brookside,"Birmingham, AL",13820
35038,Alabama,Burnwell,"Birmingham, AL",13820
35040,Alabama,Calera,"Birmingham, AL",13820
35042,Alabama,Centreville,"Birmingham, AL",13820
35043,Alabama,Chelsea,"Birmingham, AL",13820
35044,Alabama,Childersburg,"Talladega-Sylacauga, AL",45180
35045,Alabama,Clanton,"Birmingham, AL",13820
35046,Alabama,Clanton,"Birmingham, AL",13820
35048,Alabama,Clay,"Birmingham, AL",13820
35049,Alabama,Cleveland,"Birmingham, AL",13820
35051,Alabama,Columbiana,"Birmingham, AL",13820
35052,Alabama,Cook Springs,"Birmingham, AL",13820
35053,Alabama,Crane Hill,"Cullman, AL",18980
35054,Alabama,Cropwell,"Birmingham, AL",13820
35055,Alabama,Cullman,"Cullman, AL",18980
35056,Alabama,Cullman,"Cullman, AL",18980
35057,Alabama,Cullman,"Cullman, AL",18980
35058,Alabama,Cullman,"Cullman, AL",18980
35060,Alabama,Docena,"Birmingham, AL",13820
35061,Alabama,Dolomite,"Birmingham, AL",13820
35062,Alabama,Dora,"Birmingham, AL",13820
35063,Alabama,Empire,"Birmingham, AL",13820
35064,Alabama,Fairfield,"Birmingham, AL",13820
35068,Alabama,Fultondale,"Birmingham, AL",13820
35070,Alabama,Garden City,"Cullman, AL",18980
35071,Alabama,Gardendale,"Birmingham, AL",13820
35072,Alabama,Goodwater,"Talladega-Sylacauga, AL",45180
35073,Alabama,Graysville,"Birmingham, AL",13820
35074,Alabama,Green Pond,"Birmingham, AL",13820
35077,Alabama,Hanceville,"Cullman, AL",18980
35078,Alabama,Harpersville,"Birmingham, AL",13820
35079,Alabama,Hayden,"Birmingham, AL",13820
35080,Alabama,Helena,"Birmingham, AL",13820
35082,Alabama,Hollins,"Talladega-Sylacauga, AL",45180
35083,Alabama,Holly Pond,"Cullman, AL",18980
35085,Alabama,Jemison,"Birmingham, AL",13820
35087,Alabama,Joppa,"Cullman, AL",18980
35089,Alabama,Kellyton,"Talladega-Sylacauga, AL",45180
35091,Alabama,Kimberly,"Birmingham, AL",13820
35094,Alabama,Leeds,"Birmingham, AL",13820
35096,Alabama,Lincoln,"Talladega-Sylacauga, AL",45180
35097,Alabama,Locust Fork,"Birmingham, AL",13820
35098,Alabama,Logan,"Cullman, AL",18980
35111,Alabama,Mc Calla,"Tuscaloosa, AL",46220
35112,Alabama,Margaret,"Birmingham, AL",13820
35114,Alabama,Alabaster,"Birmingham, AL",13820
35115,Alabama,Montevallo,"Birmingham, AL",13820
35116,Alabama,Morris,"Birmingham, AL",13820
35117,Alabama,Mount Olive,"Birmingham, AL",13820
35118,Alabama,Mulga,"Birmingham, AL",13820
35119,Alabama,New Castle,"Birmingham, AL",13820
35120,Alabama,Odenville,"Birmingham, AL",13820
35121,Alabama,Oneonta,"Birmingham, AL",13820
35123,Alabama,Palmerdale,"Birmingham, AL",13820
35124,Alabama,Pelham,"Birmingham, AL",13820
35125,Alabama,Pell City,"Birmingham, AL",13820
35126,Alabama,Pinson,"Birmingham, AL",13820
35127,Alabama,Pleasant Grove,"Birmingham, AL",13820
35128,Alabama,Pell City,"Birmingham, AL",13820
35130,Alabama,Quinton,"Birmingham, AL",13820
35131,Alabama,Ragland,"Birmingham, AL",13820
35133,Alabama,Remlap,"Birmingham, AL",13820
35135,Alabama,Riverside,"Birmingham, AL",13820
35136,Alabama,Rockford,"Talladega-Sylacauga, AL",45180
35137,Alabama,Saginaw,"Birmingham, AL",13820
35139,Alabama,Sayre,"Birmingham, AL",13820
35142,Alabama,Shannon,"Birmingham, AL",13820
35143,Alabama,Shelby,"Birmingham, AL",13820
35146,Alabama,Springville,"Birmingham, AL",13820
35147,Alabama,Sterrett,"Birmingham, AL",13820
35148,Alabama,Sumiton,"Birmingham, AL",13820
35149,Alabama,Sycamore,"Talladega-Sylacauga, AL",45180
35150,Alabama,Sylacauga,"Talladega-Sylacauga, AL",45180
35151,Alabama,Sylacauga,"Talladega-Sylacauga, AL",45180
35160,Alabama,Talladega,"Talladega-Sylacauga, AL",45180
35171,Alabama,Thorsby,"Birmingham, AL",13820
35172,Alabama,Trafford,"Birmingham, AL",13820
35173,Alabama,Trussville,"Birmingham, AL",13820
35175,Alabama,Union Grove,"Albertville, AL",10700
35176,Alabama,Vandiver,"Birmingham, AL",13820
35178,Alabama,Vincent,"Birmingham, AL",13820
35179,Alabama,Vinemont,"Cullman, AL",18980
35180,Alabama,Warrior,"Birmingham, AL",13820
35181,Alabama,Watson,"Birmingham, AL",13820
35182,Alabama,Wattsville,"Birmingham, AL",13820
35183,Alabama,Weogufka,"Talladega-Sylacauga, AL",45180
35184,Alabama,West Blocton,"Birmingham, AL",13820
35185,Alabama,Westover,"Birmingham, AL",13820
35186,Alabama,Wilsonville,"Birmingham, AL",13820
35187,Alabama,Wilton,"Birmingham, AL",13820
