Zillow_RegionID,Zillow_RegionName,Zillow_StateName,CBSA_Code,CBSA_Name,CBSA_Type
394913,"New York, NY",NY,35620,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
753899,"Los Angeles, CA",CA,31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area
394463,"Chicago, IL",IL,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
394974,"Philadelphia, PA",PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
394856,"Miami, FL",FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area
394347,"Atlanta, GA",GA,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area
394404,"Boston, MA",MA,14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area
394976,"Phoenix, AZ",AZ,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area
395057,"San Francisco, CA",CA,41860,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
395025,"Riverside, CA",CA,40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area
394532,"Detroit, MI",MI,19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area
395078,"Seattle, WA",WA,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
394865,"Minneapolis, MN",MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
395056,"San Diego, CA",CA,41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area
395148,"Tampa, FL",FL,45300,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
394530,"Denver, CO",CO,19740,"Denver-Aurora-Centennial, CO",Metropolitan Statistical Area
394358,"Baltimore, MD",MD,12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area
395121,"St. Louis, MO",MO,41180,"St. Louis, MO-IL",Metropolitan Statistical Area
