ZIP,USPS Default State for ZIP,County,County State,State Abbreviation,COUNTY Code,ZIP Code Population,% of ZIP Residents in County,# of Counties,USPS Default City for ZIP
35004,AL,St. Clair County,Alabama,AL,01115,11558,1,1,Moody
35005,AL,Jefferson County,Alabama,AL,01073,8143,1,1,Adamsville
35006,AL,Jefferson County,Alabama,AL,01073,3599,0.928373382624769,3,Adger
35006,AL,Walker County,Alabama,AL,01127,3599,0.04805914972273567,3,Adger
35006,AL,Tuscaloosa County,Alabama,AL,01125,3599,0.02356746765249538,3,Adger
35007,AL,Shelby County,Alabama,AL,01117,27935,1,1,Alabaster
35010,AL,Tallapoosa County,Alabama,AL,01123,19619,0.8368865803550662,3,Alexander City
35010,AL,Coosa County,Alabama,AL,01037,19619,0.11450500038762695,3,Alexander City
35010,AL,Elmore County,Alabama,AL,01051,19619,0.048608419257306766,3,Alexander City
35011,AL,Tallapoosa County,Alabama,AL,01123,,1,1,Alexander City
35013,AL,Blount County,Alabama,AL,01009,122,0,1,Allgood
35014,AL,Talladega County,Alabama,AL,01121,3353,1,1,Alpine
35015,AL,Jefferson County,Alabama,AL,01073,,0,1,Alton
35016,AL,Marshall County,Alabama,AL,01095,17435,0.8605052904340316,4,Arab
35016,AL,Cullman County,Alabama,AL,01043,17435,0.1187648456057007,4,Arab
35016,AL,Blount County,Alabama,AL,01009,17435,0.019002375296912115,4,Arab
35016,AL,Morgan County,Alabama,AL,01103,17435,0.0017274886633556468,4,Arab
35019,AL,Cullman County,Alabama,AL,01043,2497,0.8260542168674698,2,Baileyton
35019,AL,Morgan County,Alabama,AL,01103,2497,0.17394578313253012,2,Baileyton
35020,AL,Jefferson County,Alabama,AL,01073,25308,1,1,Bessemer
35021,AL,Jefferson County,Alabama,AL,01073,,1,1,Bessemer
35022,AL,Jefferson County,Alabama,AL,01073,23989,0.9699810839707212,2,Bessemer
35022,AL,Shelby County,Alabama,AL,01117,23989,0.030018916029278725,2,Bessemer
35023,AL,Jefferson County,Alabama,AL,01073,25221,1,1,Bessemer
35031,AL,Blount County,Alabama,AL,01009,7937,0.999529964747356,2,Blountsville
35031,AL,Marshall County,Alabama,AL,01095,7937,0.0004700352526439483,2,Blountsville
35032,AL,Talladega County,Alabama,AL,01121,78,0,1,Bon Air
35033,AL,Cullman County,Alabama,AL,01043,3237,0.9294923448831588,2,Bremen
35033,AL,Walker County,Alabama,AL,01127,3237,0.07050765511684126,2,Bremen
35034,AL,Bibb County,Alabama,AL,01007,5132,0.9726840855106889,2,Brent
35034,AL,Perry County,Alabama,AL,01105,5132,0.027315914489311165,2,Brent
35035,AL,Bibb County,Alabama,AL,01007,933,0.9800664451827242,3,Brierfield
35035,AL,Shelby County,Alabama,AL,01117,933,0.017718715393133997,3,Brierfield
35035,AL,Chilton County,Alabama,AL,01021,933,0.0022148394241417496,3,Brierfield
35036,AL,Jefferson County,Alabama,AL,01073,175,1,1,Brookside
35038,AL,Walker County,Alabama,AL,01127,,0,1,Burnwell
35040,AL,Shelby County,Alabama,AL,01117,18819,0.9473984048613748,2,Calera
35040,AL,Chilton County,Alabama,AL,01021,18819,0.05260159513862514,2,Calera
35042,AL,Bibb County,Alabama,AL,01007,5681,0.9781354388095961,2,Centreville
35042,AL,Perry County,Alabama,AL,01105,5681,0.021864561190403888,2,Centreville
35043,AL,Shelby County,Alabama,AL,01117,15068,1,1,Chelsea
35044,AL,Talladega County,Alabama,AL,01121,8225,1,1,Childersburg
35045,AL,Chilton County,Alabama,AL,01021,15078,1,1,Clanton
35046,AL,Chilton County,Alabama,AL,01021,5229,0.9517825832846288,2,Clanton
35046,AL,Coosa County,Alabama,AL,01037,5229,0.04821741671537113,2,Clanton
35048,AL,Jefferson County,Alabama,AL,01073,,1,1,Clay
35049,AL,Blount County,Alabama,AL,01009,4334,1,1,Cleveland
35051,AL,Shelby County,Alabama,AL,01117,10101,1,1,Columbiana
35052,AL,St. Clair County,Alabama,AL,01115,214,0,1,Cook Springs
35053,AL,Cullman County,Alabama,AL,01043,2890,0.843143393863494,2,Crane Hill
35053,AL,Winston County,Alabama,AL,01133,2890,0.15685660613650595,2,Crane Hill
35054,AL,St. Clair County,Alabama,AL,01115,4954,1,1,Cropwell
35055,AL,Cullman County,Alabama,AL,01043,23231,1,1,Cullman
35056,AL,Cullman County,Alabama,AL,01043,,1,1,Cullman
35057,AL,Cullman County,Alabama,AL,01043,15514,0.9993619193466055,2,Cullman
35057,AL,Winston County,Alabama,AL,01133,15514,0.000638080653394589,2,Cullman
35058,AL,Cullman County,Alabama,AL,01043,11003,0.999362955884695,2,Cullman
35058,AL,Morgan County,Alabama,AL,01103,11003,0.0006370441153049849,2,Cullman
35060,AL,Jefferson County,Alabama,AL,01073,159,1,1,Docena
35061,AL,Jefferson County,Alabama,AL,01073,1633,1,1,Dolomite
35062,AL,Jefferson County,Alabama,AL,01073,8674,0.6414628673995961,2,Dora
35062,AL,Walker County,Alabama,AL,01127,8674,0.3585371326004039,2,Dora
35063,AL,Walker County,Alabama,AL,01127,3751,0.8338516215015549,3,Empire
35063,AL,Blount County,Alabama,AL,01009,3751,0.11994669035984007,3,Empire
35063,AL,Jefferson County,Alabama,AL,01073,3751,0.04620168813860506,3,Empire
35064,AL,Jefferson County,Alabama,AL,01073,9929,1,1,Fairfield
35068,AL,Jefferson County,Alabama,AL,01073,8437,1,1,Fultondale
35070,AL,Cullman County,Alabama,AL,01043,127,0,1,Garden City
35071,AL,Jefferson County,Alabama,AL,01073,17627,1,1,Gardendale
35072,AL,Coosa County,Alabama,AL,01037,4725,0.5405405405405406,4,Goodwater
35072,AL,Clay County,Alabama,AL,01027,4725,0.3380088949709203,4,Goodwater
35072,AL,Tallapoosa County,Alabama,AL,01123,4725,0.11358193636674649,4,Goodwater
35072,AL,Talladega County,Alabama,AL,01121,4725,0.00786862812179268,4,Goodwater
35073,AL,Jefferson County,Alabama,AL,01073,2839,1,1,Graysville
35074,AL,Bibb County,Alabama,AL,01007,140,0,1,Green Pond
35077,AL,Cullman County,Alabama,AL,01043,13290,0.9997408990801917,2,Hanceville
35077,AL,Blount County,Alabama,AL,01009,13290,0.0002591009198082653,2,Hanceville
35078,AL,Shelby County,Alabama,AL,01117,2058,1,1,Harpersville
35079,AL,Blount County,Alabama,AL,01009,9388,0.9966784305584389,3,Hayden
35079,AL,Jefferson County,Alabama,AL,01073,9388,0.003321569441561138,3,Hayden
35079,AL,Cullman County,Alabama,AL,01043,9388,0,3,Hayden
35080,AL,Shelby County,Alabama,AL,01117,19808,0.9960559340265328,3,Helena
35080,AL,Jefferson County,Alabama,AL,01073,19808,0.0032269630692004303,3,Helena
35080,AL,Bibb County,Alabama,AL,01007,19808,0.0007171029042667623,3,Helena
35082,AL,Talladega County,Alabama,AL,01121,0,1,2,Hollins
35082,AL,Clay County,Alabama,AL,01027,0,0,2,Hollins
35083,AL,Cullman County,Alabama,AL,01043,4276,1,1,Holly Pond
35085,AL,Chilton County,Alabama,AL,01021,8786,1,1,Jemison
35087,AL,Cullman County,Alabama,AL,01043,2338,0.4791666666666667,3,Joppa
35087,AL,Morgan County,Alabama,AL,01103,2338,0.43189102564102566,3,Joppa
35087,AL,Marshall County,Alabama,AL,01095,2338,0.0889423076923077,3,Joppa
35089,AL,Coosa County,Alabama,AL,01037,1901,0.7648827420324714,2,Kellyton
35089,AL,Tallapoosa County,Alabama,AL,01123,1901,0.23511725796752855,2,Kellyton
35091,AL,Jefferson County,Alabama,AL,01073,3632,1,1,Kimberly
35094,AL,Jefferson County,Alabama,AL,01073,15333,0.7144340602284528,3,Leeds
35094,AL,St. Clair County,Alabama,AL,01115,15333,0.21506865120572285,3,Leeds
35094,AL,Shelby County,Alabama,AL,01117,15333,0.07049728856582439,3,Leeds
35096,AL,Talladega County,Alabama,AL,01121,9201,0.9683225341972642,2,Lincoln
35096,AL,Calhoun County,Alabama,AL,01015,9201,0.03167746580273578,2,Lincoln
35097,AL,Blount County,Alabama,AL,01009,1857,1,1,Locust Fork
35098,AL,Cullman County,Alabama,AL,01043,1118,0.8403908794788274,2,Logan
35098,AL,Winston County,Alabama,AL,01133,1118,0.15960912052117263,2,Logan
35111,AL,Tuscaloosa County,Alabama,AL,01125,20661,0.5363669814792101,3,Mc Calla
35111,AL,Jefferson County,Alabama,AL,01073,20661,0.445234882865203,3,Mc Calla
35111,AL,Bibb County,Alabama,AL,01007,20661,0.0183981356555869,3,Mc Calla
35112,AL,St. Clair County,Alabama,AL,01115,71,0,1,Margaret
35114,AL,Shelby County,Alabama,AL,01117,7777,1,1,Alabaster
35115,AL,Shelby County,Alabama,AL,01117,16911,0.8089713843774169,3,Montevallo
35115,AL,Chilton County,Alabama,AL,01021,16911,0.17929878834751226,3,Montevallo
35115,AL,Bibb County,Alabama,AL,01007,16911,0.011729827275070895,3,Montevallo
35116,AL,Jefferson County,Alabama,AL,01073,4912,1,1,Morris
35117,AL,Jefferson County,Alabama,AL,01073,5091,1,1,Mount Olive
35118,AL,Jefferson County,Alabama,AL,01073,3131,1,1,Mulga
35119,AL,Jefferson County,Alabama,AL,01073,0,0,1,New Castle
35120,AL,St. Clair County,Alabama,AL,01115,17735,1,1,Odenville
35121,AL,Blount County,Alabama,AL,01009,16207,0.9865122789158927,3,Oneonta
35121,AL,St. Clair County,Alabama,AL,01115,16207,0.011324596004580736,3,Oneonta
35121,AL,Etowah County,Alabama,AL,01055,16207,0.0021631250795266575,3,Oneonta
35123,AL,Jefferson County,Alabama,AL,01073,,0,1,Palmerdale
35124,AL,Shelby County,Alabama,AL,01117,24871,1,1,Pelham
35125,AL,St. Clair County,Alabama,AL,01115,10969,1,1,Pell City
35126,AL,Jefferson County,Alabama,AL,01073,22354,0.9750179174772192,2,Pinson
35126,AL,Blount County,Alabama,AL,01009,22354,0.024982082522780794,2,Pinson
35127,AL,Jefferson County,Alabama,AL,01073,9502,1,1,Pleasant Grove
35128,AL,St. Clair County,Alabama,AL,01115,10228,0.9980214344600165,2,Pell City
35128,AL,Shelby County,Alabama,AL,01117,10228,0.001978565539983512,2,Pell City
35130,AL,Walker County,Alabama,AL,01127,3239,0.6848667239896818,2,Quinton
35130,AL,Jefferson County,Alabama,AL,01073,3239,0.31513327601031815,2,Quinton
35131,AL,St. Clair County,Alabama,AL,01115,3161,1,1,Ragland
35133,AL,Blount County,Alabama,AL,01009,2793,0.9500475737392959,3,Remlap
35133,AL,St. Clair County,Alabama,AL,01115,2793,0.04900095147478592,3,Remlap
35133,AL,Jefferson County,Alabama,AL,01073,2793,0.0009514747859181732,3,Remlap
35135,AL,St. Clair County,Alabama,AL,01115,1887,1,1,Riverside
35136,AL,Coosa County,Alabama,AL,01037,1999,0.9984790874524715,2,Rockford
35136,AL,Elmore County,Alabama,AL,01051,1999,0.001520912547528517,2,Rockford
35137,AL,Shelby County,Alabama,AL,01117,,0,1,Saginaw
35139,AL,Jefferson County,Alabama,AL,01073,,0,1,Sayre
35142,AL,Jefferson County,Alabama,AL,01073,,0,1,Shannon
35143,AL,Shelby County,Alabama,AL,01117,2966,1,1,Shelby
35146,AL,St. Clair County,Alabama,AL,01115,13283,0.9155812036273702,3,Springville
35146,AL,Blount County,Alabama,AL,01009,13283,0.07518549051937345,3,Springville
35146,AL,Jefferson County,Alabama,AL,01073,13283,0.00923330585325639,3,Springville
35147,AL,Shelby County,Alabama,AL,01117,6971,1,1,Sterrett
35148,AL,Walker County,Alabama,AL,01127,2270,0.9733510992671552,2,Sumiton
35148,AL,Jefferson County,Alabama,AL,01073,2270,0.02664890073284477,2,Sumiton
35149,AL,Talladega County,Alabama,AL,01121,0,1,1,Sycamore
35150,AL,Talladega County,Alabama,AL,01121,17118,0.9881367181018749,2,Sylacauga
35150,AL,Coosa County,Alabama,AL,01037,17118,0.011863281898125104,2,Sylacauga
35151,AL,Talladega County,Alabama,AL,01121,7615,0.6704687221529139,2,Sylacauga
35151,AL,Coosa County,Alabama,AL,01037,7615,0.3295312778470861,2,Sylacauga
35160,AL,Talladega County,Alabama,AL,01121,26177,0.9693852255825484,2,Talladega
35160,AL,Clay County,Alabama,AL,01027,26177,0.03061477441745166,2,Talladega
35171,AL,Chilton County,Alabama,AL,01021,3613,1,1,Thorsby
35172,AL,Blount County,Alabama,AL,01009,2824,0.6955741626794258,2,Trafford
35172,AL,Jefferson County,Alabama,AL,01073,2824,0.30442583732057416,2,Trafford
35173,AL,Jefferson County,Alabama,AL,01073,32125,0.8522083805209513,2,Trussville
35173,AL,St. Clair County,Alabama,AL,01115,32125,0.1477916194790487,2,Trussville
35175,AL,Marshall County,Alabama,AL,01095,4871,0.7720767888307155,2,Union Grove
35175,AL,Morgan County,Alabama,AL,01103,4871,0.22792321116928446,2,Union Grove
35176,AL,Shelby County,Alabama,AL,01117,618,1,1,Vandiver
35178,AL,Shelby County,Alabama,AL,01117,2867,0.6787735849056604,2,Vincent
35178,AL,St. Clair County,Alabama,AL,01115,2867,0.32122641509433963,2,Vincent
35179,AL,Cullman County,Alabama,AL,01043,8957,0.9841777478538967,3,Vinemont
35179,AL,Morgan County,Alabama,AL,01103,8957,0.012287493687931325,3,Vinemont
35179,AL,Winston County,Alabama,AL,01133,8957,0.003534758458172025,3,Vinemont
35180,AL,Jefferson County,Alabama,AL,01073,14097,0.588963963963964,2,Warrior
35180,AL,Blount County,Alabama,AL,01009,14097,0.41103603603603606,2,Warrior
35181,AL,Jefferson County,Alabama,AL,01073,69,1,1,Watson
35182,AL,St. Clair County,Alabama,AL,01115,,0,1,Wattsville
35183,AL,Coosa County,Alabama,AL,01037,984,1,1,Weogufka
35184,AL,Bibb County,Alabama,AL,01007,6188,0.9748827863362358,2,West Blocton
35184,AL,Tuscaloosa County,Alabama,AL,01125,6188,0.025117213663764234,2,West Blocton
