period_date,fips_code,county_name,state_fips,region_code,division_code,sf_buildings,sf_units,sf_value,duplex_buildings,duplex_units,duplex_value,small_multi_buildings,small_multi_units,small_multi_value,large_multi_buildings,large_multi_units,large_multi_value,total_buildings,total_units,total_value,sf_units_yoy,total_units_yoy
2024-01-01,01,,01,3,6,1349,1349,376066837,22,44,14773450,1,4,609674,18,698,100460940,1390,2095,491910901,,
2024-02-01,01,,01,3,6,1495,1495,383462165,4,8,605000,2,8,1181785,3,63,7206117,1504,1574,392455067,,
2024-03-01,01,,01,3,6,1388,1388,372979395,6,12,1875078,2,7,1060460,4,188,27668654,1400,1595,403583587,,
2024-04-01,01,,01,3,6,1646,1646,495868364,5,10,2053746,2,6,477899,7,116,17115223,1660,1778,515515232,,
2024-05-01,01,,01,3,6,1736,1736,460791266,3,6,1487746,2,6,477899,24,512,85709157,1765,2260,548466068,,
2024-06-01,01,,01,3,6,1382,1382,353278641,4,8,1798702,1,3,342899,9,110,15559375,1396,1503,370979617,,
2024-07-01,01,,01,3,6,1393,1393,403417319,9,18,3055725,1,3,342899,5,42,7016541,1408,1456,413832484,,
2024-08-01,01,,01,3,6,1506,1506,446995872,8,16,2698552,2,6,485399,7,231,19320932,1523,1759,469500755,,
2024-09-01,01,,01,3,6,1344,1344,396056007,6,12,2282448,2,6,485399,7,71,10590509,1359,1433,409414363,,
2024-10-01,01,,01,3,6,1480,1480,427244486,10,20,3614761,2,6,485399,21,600,85862783,1513,2106,517207429,,
2024-11-01,01,,01,3,6,1181,1181,333524490,24,48,5090317,21,75,6573182,14,276,86776795,1240,1580,431964784,,
2024-12-01,01,,01,3,6,1299,1299,347773260,10,20,3540717,1,3,342899,8,296,37511354,1318,1618,389168230,,
2025-01-01,01,,01,3,6,1263,1263,359955929,6,12,1723036,0,0,0,22,385,29676851,1291,1660,391355816,-6.38,-20.76
2025-02-01,01,,01,3,6,1332,1332,394514131,3,6,1120970,0,0,0,5,48,6910568,1340,1386,402545669,-10.9,-11.94
2025-03-01,01,,01,3,6,1518,1518,441715811,6,12,432701,1,3,342899,7,65,10817367,1532,1598,453308778,,
2025-04-01,01,,01,3,6,1466,1466,450045113,11,22,3506282,5,19,3091142,10,84,15338931,1492,1591,471981468,-10.94,-10.52
2025-05-01,01,,01,3,6,1350,1350,394513927,2,4,1233130,6,22,3016347,8,71,10997101,1366,1447,409760505,-22.24,-35.97
2025-06-01,01,,01,3,6,1183,1183,361842441,9,18,2946282,8,27,3227507,13,109,17340352,1213,1337,385356582,-14.4,-11.04
2025-07-01,01,,01,3,6,1382,1382,407525592,4,8,1715362,2,7,1525691,8,106,16175161,1396,1503,426941806,-0.79,3.23
2025-08-01,01,,01,3,6,1235,1235,369888010,6,12,3693940,20,79,5997359,16,137,21643675,1277,1463,401222984,-17.99,-16.83
2025-09-01,01,,01,3,6,1231,1231,344057160,6,12,3064760,15,58,9187954,44,581,103545671,1296,1882,459855545,-8.41,31.33
2025-10-01,01,,01,3,6,1310,1310,379226945,9,18,4359784,2,7,1188950,6,63,10781678,1327,1398,395557357,-11.49,-33.62
2025-11-01,01,,01,3,6,1246,1246,351109339,1,2,201501,2,7,934041,26,282,42489951,1275,1537,394734832,5.5,-2.72
