y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,2148,4413,138794
01,001,97,000,AL,Autauga County Total Migration-US,2120,4345,135795
01,001,97,001,AL,Autauga County Total Migration-Same State,1357,2588,77614
01,001,97,003,AL,Autauga County Total Migration-Different State,763,1757,58181
01,001,98,000,AL,Autauga County Total Migration-Foreign,28,68,2998
01,001,01,001,AL,Autauga County Non-migrants,20045,43150,1531683
01,001,01,051,AL,Elmore County,443,842,25847
01,001,01,101,AL,Montgomery County,407,801,22668
01,001,01,047,AL,Dallas County,77,164,4909
01,001,01,021,AL,Chilton County,70,130,2880
01,001,01,073,AL,Jefferson County,37,70,2404
01,001,01,117,AL,Shelby County,35,59,2431
01,001,01,081,AL,Lee County,33,55,1495
01,001,12,091,FL,Okaloosa County,23,58,2065
01,001,51,059,VA,Fairfax County,22,84,3121
01,001,01,003,AL,Baldwin County,20,39,1051
01,001,58,000,SS,Other flows - Same State,235,428,13931
01,001,59,000,DS,Other flows - Different State,718,1615,52995
01,001,59,001,DS,Other flows - Northeast,37,76,2257
01,001,59,003,DS,Other flows - Midwest,102,224,7656
01,001,59,005,DS,Other flows - South,428,951,29537
01,001,59,007,DS,Other flows - West,151,364,13545
01,001,57,009,FR,Foreign - Other flows,28,68,2998
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,7573,14221,643854
01,003,97,000,AL,Baldwin County Total Migration-US,7537,14151,639323
01,003,97,001,AL,Baldwin County Total Migration-Same State,2384,4439,190189
01,003,97,003,AL,Baldwin County Total Migration-Different State,5153,9712,449134
01,003,98,000,AL,Baldwin County Total Migration-Foreign,36,70,4531
01,003,01,003,AL,Baldwin County Non-migrants,88299,180763,8399823
01,003,01,097,AL,Mobile County,1002,1830,77079
01,003,12,033,FL,Escambia County,438,808,32623
01,003,01,073,AL,Jefferson County,202,370,17792
01,003,01,117,AL,Shelby County,117,230,11919
01,003,01,053,AL,Escambia County,99,222,4667
01,003,12,113,FL,Santa Rosa County,90,156,5719
01,003,01,101,AL,Montgomery County,88,172,10623
01,003,01,089,AL,Madison County,85,156,9019
01,003,01,125,AL,Tuscaloosa County,70,135,6678
01,003,47,157,TN,Shelby County,70,136,7674
01,003,01,081,AL,Lee County,59,105,4803
01,003,12,091,FL,Okaloosa County,58,107,5164
01,003,48,201,TX,Harris County,51,92,4701
01,003,04,013,AZ,Maricopa County,46,83,4372
01,003,01,099,AL,Monroe County,45,69,2187
01,003,13,067,GA,Cobb County,42,83,5450
01,003,47,037,TN,Davidson County,42,68,3005
01,003,01,051,AL,Elmore County,38,69,3391
01,003,13,121,GA,Fulton County,36,64,4631
01,003,28,033,MS,DeSoto County,35,58,3872
01,003,06,073,CA,San Diego County,34,64,4291
01,003,28,047,MS,Harrison County,34,63,2612
01,003,22,051,LA,Jefferson Parish,33,59,2720
01,003,01,115,AL,St. Clair County,32,65,2140
01,003,12,031,FL,Duval County,32,48,2582
01,003,13,135,GA,Gwinnett County,31,67,2248
01,003,22,071,LA,Orleans Parish,30,55,5671
01,003,12,011,FL,Broward County,29,56,3022
01,003,22,033,LA,East Baton Rouge Parish,29,44,2876
01,003,01,121,AL,Talladega County,28,57,2347
01,003,17,031,IL,Cook County,28,52,2479
01,003,28,059,MS,Jackson County,28,54,2898
01,003,12,005,FL,Bay County,27,44,1743
01,003,12,103,FL,Pinellas County,27,41,2163
