y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1920,3869,118308
01,001,97,000,AL,Autauga County Total Migration-US,1888,3759,115092
01,001,97,001,AL,Autauga County Total Migration-Same State,1199,2247,63596
01,001,97,003,AL,Autauga County Total Migration-Different State,689,1512,51496
01,001,98,000,AL,Autauga County Total Migration-Foreign,32,110,3216
01,001,01,001,AL,Autauga County Non-migrants,20045,43150,1531683
01,001,01,051,AL,Elmore County,438,847,24777
01,001,01,101,AL,Montgomery County,260,491,12370
01,001,01,021,AL,Chilton County,71,143,3069
01,001,01,073,AL,Jefferson County,61,91,3916
01,001,01,081,AL,Lee County,51,78,2182
01,001,01,117,AL,Shelby County,45,73,2442
01,001,01,047,AL,Dallas County,35,72,1324
01,001,01,089,AL,Madison County,32,63,2173
01,001,01,003,AL,Baldwin County,25,47,1655
01,001,01,109,AL,Pike County,20,40,934
01,001,58,000,SS,Other flows - Same State,161,302,8754
01,001,59,000,DS,Other flows - Different State,689,1512,51496
01,001,59,001,DS,Other flows - Northeast,29,46,1840
01,001,59,003,DS,Other flows - Midwest,84,207,6049
01,001,59,005,DS,Other flows - South,460,965,34026
01,001,59,007,DS,Other flows - West,116,294,9581
01,001,57,009,FR,Foreign - Other flows,32,110,3216
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,5593,9559,398374
01,003,97,000,AL,Baldwin County Total Migration-US,5555,9479,395802
01,003,97,001,AL,Baldwin County Total Migration-Same State,1930,3308,126341
01,003,97,003,AL,Baldwin County Total Migration-Different State,3625,6171,269461
01,003,98,000,AL,Baldwin County Total Migration-Foreign,38,80,2572
01,003,01,003,AL,Baldwin County Non-migrants,88299,180763,8399823
01,003,01,097,AL,Mobile County,842,1407,57437
01,003,12,033,FL,Escambia County,370,589,25767
01,003,01,073,AL,Jefferson County,147,224,9661
01,003,01,089,AL,Madison County,108,170,7247
01,003,01,053,AL,Escambia County,91,195,4248
01,003,01,117,AL,Shelby County,82,133,7292
01,003,12,113,FL,Santa Rosa County,79,148,5702
01,003,01,081,AL,Lee County,66,115,4059
01,003,01,125,AL,Tuscaloosa County,55,81,3831
01,003,47,037,TN,Davidson County,53,66,3673
01,003,28,059,MS,Jackson County,51,87,2338
01,003,12,091,FL,Okaloosa County,50,81,3317
01,003,48,201,TX,Harris County,48,83,3633
01,003,28,047,MS,Harrison County,47,88,2240
01,003,13,121,GA,Fulton County,32,45,2566
01,003,01,101,AL,Montgomery County,30,56,3631
01,003,01,055,AL,Etowah County,29,64,1886
01,003,01,115,AL,St. Clair County,29,47,1633
01,003,12,031,FL,Duval County,29,55,1405
01,003,12,005,FL,Bay County,26,44,2090
01,003,22,103,LA,St. Tammany Parish,26,46,2356
01,003,04,013,AZ,Maricopa County,25,49,1833
01,003,48,029,TX,Bexar County,24,50,1368
01,003,08,041,CO,El Paso County,23,46,907
01,003,01,069,AL,Houston County,22,43,1588
01,003,01,099,AL,Monroe County,22,35,1084
01,003,01,103,AL,Morgan County,22,39,1369
01,003,06,073,CA,San Diego County,22,45,2082
01,003,01,015,AL,Calhoun County,21,36,1039
01,003,01,025,AL,Clarke County,21,37,924
01,003,13,067,GA,Cobb County,21,33,1759
01,003,17,031,IL,Cook County,21,28,1070
01,003,48,113,TX,Dallas County,21,27,2149
01,003,01,001,AL,Autauga County,20,39,1051
01,003,01,051,AL,Elmore County,20,31,1390
01,003,48,453,TX,Travis County,20,29,1034
01,003,58,000,SS,Other flows - Same State,303,556,16970
01,003,59,000,DS,Other flows - Different State,2637,4532,202175
01,003,59,001,DS,Other flows - Northeast,155,246,9274
01,003,59,003,DS,Other flows - Midwest,508,887,29047
01,003,59,005,DS,Other flows - South,1638,2853,142031
01,003,59,007,DS,Other flows - West,336,546,21823
01,003,57,009,FR,Foreign - Other flows,38,80,2572
01,005,96,000,AL,Barbour County Total Migration-US and Foreign,492,932,19330
01,005,97,000,AL,Barbour County Total Migration-US,492,932,19330
01,005,97,001,AL,Barbour County Total Migration-Same State,318,612,12591
01,005,97,003,AL,Barbour County Total Migration-Different State,174,320,6738
01,005,01,005,AL,Barbour County Non-migrants,7453,15143,409369
01,005,01,069,AL,Houston County,55,111,1559
01,005,01,045,AL,Dale County,41,81,1848
01,005,01,109,AL,Pike County,34,77,1564
01,005,01,067,AL,Henry County,33,64,1315
01,005,01,113,AL,Russell County,28,57,1394
01,005,01,101,AL,Montgomery County,21,34,744
01,005,13,239,GA,Quitman County,21,47,714
01,005,58,000,SS,Other flows - Same State,106,188,4168
01,005,59,000,DS,Other flows - Different State,153,273,6024
01,005,59,001,DS,Other flows - Northeast,-1,-1,-1
01,005,59,003,DS,Other flows - Midwest,-1,-1,-1
01,005,59,005,DS,Other flows - South,153,273,6024
01,005,59,007,DS,Other flows - West,-1,-1,-1
01,007,96,000,AL,Bibb County Total Migration-US and Foreign,409,770,18086
01,007,97,000,AL,Bibb County Total Migration-US,409,770,18086
01,007,97,001,AL,Bibb County Total Migration-Same State,356,680,15565
01,007,97,003,AL,Bibb County Total Migration-Different State,53,90,2520
01,007,01,007,AL,Bibb County Non-migrants,6469,14012,424802
01,007,01,125,AL,Tuscaloosa County,120,239,5294
01,007,01,073,AL,Jefferson County,71,122,2504
01,007,01,117,AL,Shelby County,59,113,2839
01,007,01,021,AL,Chilton County,21,47,836
01,007,58,000,SS,Other flows - Same State,85,159,4092
