"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","1012","53","0","2023","4","N",4,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","1012","53","0","2023","4","",12410,103547,103033,103145,2013939929,122061689,1716959,1501,"",1.00,0.94,0.94,0.95,1.04,0.93,1.02,1.10,"",495,4.2,3145,3.1,3377,3.4,3446,3.5,190942294,10.5,9146018,8.1,-390343,-18.5,98,7.0
"01001","5","1012","73","0","2023","4","",104,545,528,530,8412035,867443,8653,1211,"",1.21,0.86,0.85,0.85,0.90,1.24,1.08,1.06,"",1,1.0,-13,-2.3,-51,-8.8,-71,-11.8,-472066,-5.3,-231167,-21.0,-15369,-64.0,31,2.6
"01003","5","1012","73","0","2023","4","",937,5369,5391,5458,95497600,6000292,46315,1359,"",1.42,1.23,1.25,1.28,1.52,1.07,0.67,1.22,"",54,6.1,-40,-0.7,58,1.1,184,3.5,8231518,9.4,171907,2.9,-32285,-41.1,102,8.1
"01005","5","1012","73","0","2023","4","",30,133,129,136,2214274,119073,2190,1284,"",0.65,0.33,0.32,0.34,0.44,0.26,0.38,1.31,"",-1,-3.2,-6,-4.3,-13,-9.2,-9,-6.2,-39203,-1.7,-25093,-17.4,-89,-3.9,63,5.2
"01007","5","1012","73","0","2023","4","",41,916,858,817,19908103,1164728,10060,1773,"",1.19,3.48,3.36,3.27,4.98,4.74,3.33,1.47,"",3,7.9,12,1.3,82,10.6,-52,-6.0,965950,5.1,-321440,-21.6,-11872,-54.1,58,3.4
"01009","5","1012","73","0","2023","4","",138,595,601,607,10156392,600185,8530,1300,"",1.88,1.27,1.29,1.32,1.67,1.32,1.62,1.29,"",5,3.8,-31,-5.0,-24,-3.8,-11,-1.8,1174998,13.1,37244,6.6,-2561,-23.1,191,17.2
"01011","5","1012","73","0","2023","4","N",6,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1012","73","0","2023","4","",35,215,221,224,3463579,248833,3027,1211,"",0.82,0.59,0.61,0.63,0.73,0.49,0.42,1.20,"",3,9.4,5,2.4,10,4.7,17,8.2,475723,15.9,-16317,-6.2,-2221,-42.3,113,10.3
"01015","5","1012","73","0","2023","4","",189,1066,1043,1049,19799761,853445,7664,1447,"",0.86,0.47,0.46,0.47,0.60,0.34,0.25,1.27,"",4,2.2,21,2.0,-5,-0.5,-4,-0.4,2787010,16.4,-3145,-0.4,-4854,-38.8,199,15.9
"01017","5","1012","73","0","2023","4","",65,289,270,256,4412493,184306,2157,1249,"",1.06,0.62,0.58,0.56,0.62,0.28,0.20,1.06,"",7,12.1,59,25.7,40,17.4,17,7.1,1163174,35.8,38383,26.3,318,17.3,176,16.4
"01019","5","1012","73","0","2023","4","",32,133,116,119,1938364,177356,1836,1216,"",0.84,0.47,0.42,0.44,0.55,0.49,0.43,1.24,"",2,6.7,-2,-1.5,-22,-15.9,-24,-16.8,-977731,-33.5,-158744,-47.2,-6616,-78.3,-402,-24.8
"01021","5","1012","73","0","2023","4","",95,540,531,539,10612242,473389,5507,1521,"",1.32,1.12,1.12,1.15,1.62,0.91,0.95,1.43,"",-2,-2.1,-26,-4.6,-39,-6.8,-18,-3.2,1015830,10.6,10329,2.2,-1040,-15.9,213,16.3
"01023","5","1012","73","0","2023","4","N",23,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","1012","73","0","2023","4","",31,163,155,159,2447725,204178,3387,1184,"",0.52,0.38,0.36,0.38,0.39,0.49,0.61,1.06,"",-4,-11.4,-9,-5.2,-6,-3.7,-4,-2.5,286153,13.2,26990,15.2,-1633,-32.5,178,17.7
"01027","5","1012","73","0","2023","4","",15,34,34,33,506660,17378,326,1158,"",0.77,0.15,0.15,0.15,0.19,0.06,0.13,1.24,"",-1,-6.2,4,13.3,4,13.3,3,10.0,142006,38.9,-20702,-54.4,-525,-61.7,223,23.9
"01029","5","1012","73","0","2023","4","",26,468,452,439,9312163,242646,2828,1581,"",1.17,3.29,3.23,3.19,4.06,1.81,1.71,1.25,"",1,4.0,128,37.6,142,45.8,34,8.4,877921,10.4,-60500,-20.0,-3796,-57.3,-264,-14.3
"01031","5","1012","73","0","2023","4","",92,421,419,422,5514447,350116,2572,1008,"",0.87,0.47,0.47,0.48,0.48,0.32,0.26,1.01,"",1,1.1,11,2.7,5,1.2,14,3.4,503420,10.0,-3639,-1.0,-2328,-47.5,69,7.3
"01033","5","1012","73","0","2023","4","",130,1583,1524,1536,27144802,1528986,16661,1349,"",1.07,1.24,1.22,1.24,1.27,1.02,0.73,1.03,"",5,4.0,-329,-17.2,-332,-17.9,-368,-19.3,-7495126,-21.6,-791980,-34.1,-25103,-60.1,-60,-4.3
"01035","5","1012","73","0","2023","4","",13,80,89,95,1148549,145815,3576,1004,"",0.57,0.46,0.52,0.56,0.48,0.73,1.51,0.94,"",1,8.3,5,6.7,16,21.9,19,25.0,275529,31.6,84620,138.3,1905,114.0,105,11.7
"01037","5","1012","73","0","2023","4","",14,34,35,35,446570,18036,93,991,"",1.12,0.43,0.45,0.45,0.35,0.30,0.10,0.79,"",1,7.7,-12,-26.1,-10,-22.2,-10,-22.2,-77880,-14.8,-22504,-55.5,-584,-86.3,101,11.3
