period_end	destination_metro	destination_metro_name	origin_metro	origin_metro_name	net_inflow	inflow_share	outflow_share	total_users	share	net_searches
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	12060	Atlanta-Sandy Springs-Alpharetta, GA	8420	58.32	41.68	142000	100.00	0
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	35620	New York-Newark-Jersey City, NY-NJ-PA	2104	1.48	0.62	142000	1.48	1820
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	16980	Chicago-Naperville-Elgin, IL-IN-WI	1342	0.95	0.41	142000	0.95	1108
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	31080	Los Angeles-Long Beach-Anaheim, CA	985	0.69	0.22	142000	0.69	822
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	19820	Detroit-Warren-Dearborn, MI	612	0.43	0.18	142000	0.43	498
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	33100	Miami-Fort Lauderdale-Pompano Beach, FL	548	0.39	0.27	142000	0.39	441
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	38060	Phoenix-Mesa-Chandler, AZ	412	0.29	0.15	142000	0.29	332
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	26420	Houston-The Woodlands-Sugar Land, TX	380	0.27	0.21	142000	0.27	304
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	19100	Dallas-Fort Worth-Arlington, TX	356	0.25	0.19	142000	0.25	288
2025-12-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	17460	Cleveland-Elyria, OH	298	0.21	0.09	142000	0.21	240
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	35620	New York-Newark-Jersey City, NY-NJ-PA	-12480	38.21	61.79	295000	100.00	0
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	33100	Miami-Fort Lauderdale-Pompano Beach, FL	-3120	2.10	2.86	295000	2.10	-2580
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	37980	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	-2240	1.51	2.07	295000	1.51	-1820
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	14460	Boston-Cambridge-Newton, MA-NH	-1860	1.26	1.71	295000	1.26	-1490
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	12060	Atlanta-Sandy Springs-Alpharetta, GA	-1420	0.96	1.45	295000	0.96	-1180
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	16980	Chicago-Naperville-Elgin, IL-IN-WI	-1080	0.73	0.95	295000	0.73	-880
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	38060	Phoenix-Mesa-Chandler, AZ	-820	0.56	0.74	295000	0.56	-680
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	19100	Dallas-Fort Worth-Arlington, TX	-680	0.46	0.61	295000	0.46	-560
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	36740	Orlando-Kissimmee-Sanford, FL	-540	0.37	0.49	295000	0.37	-440
