geoid,name,state_abbreviation,unemployment_rate,employment_total,median_household_income,gdp,housing_permits
01,"Alabama",AL,ALUR,ALNA,MEHOINUSALA646N,ALRGSP,ALBPPRIVSA
02,"Alaska",AK,AKUR,AKNA,MEHOINUSAKA646N,AKRGSP,AKBPPRIVSA
60,"American Samoa",,,,MEHOINUS60A646N,NGMP60000ALL,
04,"Arizona",AZ,AZUR,AZNA,MEHOINUSAZA646N,AZRGSP,AZBPPRIVSA
05,"Arkansas",AR,ARUR,ARNA,MEHOINUSARA646N,ARRGSP,ARBPPRIVSA
06,"California",CA,CAUR,CANA,MEHOINUSCAA646N,CARGSP,CABPPRIVSA
08,"Colorado",CO,COUR,CONA,MEHOINUSCOA646N,CORGSP,COBPPRIVSA
69,"Commonwealth of the Northern Mariana Islands",,,,MEHOINUS69A646N,NGMP69000ALL,
09,"Connecticut",CT,CTUR,CTNA,MEHOINUSCTA646N,CTRGSP,CTBPPRIVSA
10,"Delaware",DE,DEUR,DENA,MEHOINUSDEA646N,DERGSP,DEBPPRIVSA
11,"District Of Columbia",DC,DCUR,DCNA,MEHOINUSDCA646N,DCRGSP,DCBPPRIVSA
12,"Florida",FL,FLUR,FLNA,MEHOINUSFLA646N,FLRGSP,FLBPPRIVSA
13,"Georgia",GA,GAUR,GANA,MEHOINUSGAA646N,GARGSP,GABPPRIVSA
66,"Guam",GU,GUUR,GUNA,MEHOINUSGUA646N,GURGSP,GUBPPRIVSA
15,"Hawaii",HI,HIUR,HINA,MEHOINUSHIA646N,HIRGSP,HIBPPRIVSA
16,"Idaho",ID,IDUR,IDNA,MEHOINUSIDA646N,IDRGSP,IDBPPRIVSA
17,"Illinois",IL,ILUR,ILNA,MEHOINUSILA646N,ILRGSP,ILBPPRIVSA
18,"Indiana",IN,INUR,INNA,MEHOINUSINA646N,INRGSP,INBPPRIVSA
19,"Iowa",IA,IAUR,IANA,MEHOINUSIAA646N,IARGSP,IABPPRIVSA
20,"Kansas",KS,KSUR,KSNA,MEHOINUSKSA646N,KSRGSP,KSBPPRIVSA
21,"Kentucky",KY,KYUR,KYNA,MEHOINUSKYA646N,KYRGSP,KYBPPRIVSA
22,"Louisiana",LA,LAUR,LANA,MEHOINUSLAA646N,LARGSP,LABPPRIVSA
23,"Maine",ME,MEUR,MENA,MEHOINUSMEA646N,MERGSP,MEBPPRIVSA
24,"Maryland",MD,MDUR,MDNA,MEHOINUSMDA646N,MDRGSP,MDBPPRIVSA
25,"Massachusetts",MA,MAUR,MANA,MEHOINUSMAA646N,MARGSP,MABPPRIVSA
26,"Michigan",MI,MIUR,MINA,MEHOINUSMIA646N,MIRGSP,MIBPPRIVSA
27,"Minnesota",MN,MNUR,MNNA,MEHOINUSMNA646N,MNRGSP,MNBPPRIVSA
28,"Mississippi",MS,MSUR,MSNA,MEHOINUSMSA646N,MSRGSP,MSBPPRIVSA
29,"Missouri",MO,MOUR,MONA,MEHOINUSMOA646N,MORGSP,MOBPPRIVSA
