zip_code,zip_default_city,zip_default_state,county_fips,county_fips_3,county_name,county_population,state_fips,state_abbrev,state_name,cbsa_code,cbsa_name,cbsa_type,cbsa_population,zillow_state_region_id,zillow_county_region_id,zillow_metro_region_id,zillow_metro_name
36003,Autaugaville,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36006,Billingsley,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36008,Booth,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36051,Marbury,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36066,Prattville,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36067,Prattville,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36068,Prattville,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,33860,"Montgomery, AL",Metropolitan Statistical Area,385480.0,3.0,1524.0,394875.0,"Montgomery, AL"
36749,Jones,AL,01001,001,Autauga County,59285.0,01,AL,Alabama,42820,"Selma, AL",Micropolitan Statistical Area,36165.0,3.0,1524.0,394875.0,"Montgomery, AL"
36507,Bay Minette,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36511,Bon Secour,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36526,Daphne,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36527,Daphne,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36530,Elberta,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36532,Fairhope,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36533,Fairhope,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36535,Foley,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36536,Foley,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36542,Gulf Shores,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
36547,Gulf Shores,AL,01003,003,Baldwin County,239945.0,01,AL,Alabama,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,253507.0,3.0,1525.0,394519.0,"Fairhope, AL"
