geoid,name,field,series_id,verified,error
"10180","Abilene, TX","unemployment_rate","ABIL148UR","true",""
"10180","Abilene, TX","employment_total","ABIL148NA","true",""
"10180","Abilene, TX","median_household_income","","false","Not found in FRED"
"10180","Abilene, TX","gdp","NGMP10180","true",""
"10180","Abilene, TX","housing_permits","","false","Not found in FRED"
"10380","Aguadilla, PR","unemployment_rate","","false","Not found in FRED"
"10380","Aguadilla, PR","employment_total","SMU72103800500000003","true",""
"10380","Aguadilla, PR","median_household_income","","false","Not found in FRED"
"10380","Aguadilla, PR","gdp","","false","Not found in FRED"
"10380","Aguadilla, PR","housing_permits","","false","Not found in FRED"
"10420","Akron, OH","unemployment_rate","AKRO439URN","true",""
"10420","Akron, OH","employment_total","AKRO439NA","true",""
"10420","Akron, OH","median_household_income","","false","Not found in FRED"
"10420","Akron, OH","gdp","NGMP10420","true",""
"10420","Akron, OH","housing_permits","","false","Not found in FRED"
"10580","Albany-Schenectady-Troy, NY","unemployment_rate","ALBA536URN","true",""
"10580","Albany-Schenectady-Troy, NY","employment_total","ALBA536NA","true",""
"10580","Albany-Schenectady-Troy, NY","median_household_income","","false","Not found in FRED"
"10580","Albany-Schenectady-Troy, NY","gdp","NGMP10580","true",""
"10580","Albany-Schenectady-Troy, NY","housing_permits","","false","Not found in FRED"
"10500","Albany, GA","unemployment_rate","ALBA513URN","true",""
"10500","Albany, GA","employment_total","SMU41105400500000011","true",""
"10500","Albany, GA","median_household_income","","false","Not found in FRED"
"10500","Albany, GA","gdp","NGMP10500","true",""
"10500","Albany, GA","housing_permits","","false","Not found in FRED"
